nombre,categoria_iba,ingredientes,preparacion,cristaleria,guarnicion,fuente_url
Brandy Crusta,The Unforgettables (Inolvidables),"52,5 ml (1,75 oz) de brandy; 7,5 ml (0,25 oz) de licor marrasquino Luxardo; 1 cucharada de bar de curaçao; 15 ml (0,5 oz) de jugo fresco de limón; 1 cucharada de bar de jarabe simple; 2 golpes (dashes) de bitters aromáticos",Mezclar todos los ingredientes con cubos de hielo en un vaso mezclador y colar en una copa de cóctel estrecha previamente preparada.,copa de cóctel estrecha,Frotar el borde de la copa con una rodaja de naranja (o limón) y pasarlo por azúcar blanca pulverizada para que se adhiera; colocar con cuidado la piel de naranja o limón enroscada en el interior de la copa.,https://iba-world.com/iba-cocktail/brandy-crusta/
Caipirinha,Contemporary Classics (Clásicos contemporáneos),60 ml (2 oz) de cachaça; 1 lima cortada en cuñas pequeñas; 4 cucharaditas de azúcar blanca de caña,"Poner la lima y el azúcar en un vaso old fashioned doble y macerar (muddle) suavemente. Llenar el vaso con hielo picado y añadir la cachaça. Remover suavemente para integrar los ingredientes. Nota: Caipiroska, con vodka en lugar de cachaça; Caipirissima, con ron en lugar de cachaça; Caipirão, con Licor Beirão en lugar de cachaça.",vaso old fashioned doble,Sin guarnición.,https://iba-world.com/iba-cocktail/caipirinha/
Canchanchara,New Era Drinks (Bebidas de la nueva era),"60 ml (2 oz) de aguardiente cubano; 15 ml (0,5 oz) de jugo fresco de lima; 15 ml (0,5 oz) de miel cruda; 50 ml (1,67 oz) de agua",Mezclar la miel con el agua y el jugo de lima y extender la mezcla en el fondo y las paredes del vaso. Añadir hielo picado y luego el ron (aguardiente cubano). Terminar removiendo enérgicamente de abajo hacia arriba.,vaso (tipo no especificado por la IBA),Una cuña de lima.,https://iba-world.com/iba-cocktail/canchanchara/
Cardinale,Contemporary Classics (Clásicos contemporáneos),"40 ml (1,33 oz) de gin; 20 ml (0,67 oz) de vermut seco; 10 ml (0,33 oz) de Campari (bitter Campari)",Verter todos los ingredientes en un vaso mezclador con cubos de hielo. Remover bien y colar en una copa de cóctel fría.,copa de cóctel,Una piel (zest) de limón.,https://iba-world.com/iba-cocktail/cardinale/
Casino,The Unforgettables (Inolvidables),"40 ml (1,33 oz) de gin Old Tom; 10 ml (0,33 oz) de licor marrasquino Luxardo; 10 ml (0,33 oz) de jugo fresco de limón; 2 golpes (dashes) de bitter de naranja","Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en un vaso rocks frío con hielo.",vaso rocks,Una piel (zest) de limón y una cereza marrasquino.,https://iba-world.com/iba-cocktail/casino/
Chartreuse Swizzle,New Era Drinks (Bebidas de la nueva era),"45 ml (1,5 oz) de Chartreuse verde; 30 ml (1 oz) de jugo fresco de piña; 22,5 ml (0,75 oz) de jugo fresco de lima; 15 ml (0,5 oz) de falernum",Verter todos los ingredientes en un vaso alto y añadir hielo granizado (pebble ice). Con ayuda de un swizzle stick (o una cuchara de bar) mezclar vigorosamente y terminar llenando el vaso con más hielo granizado.,vaso alto,Hojas de hierbabuena (menta) y nuez moscada rallada.,https://iba-world.com/iba-cocktail/chartreuse-swizzle/
Clover Club,The Unforgettables (Inolvidables),"45 ml (1,5 oz) de gin; 15 ml (0,5 oz) de jarabe de frambuesa; 15 ml (0,5 oz) de jugo fresco de limón; unas gotas de clara de huevo","Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",copa de cóctel,Frambuesas frescas.,https://iba-world.com/iba-cocktail/clover-club/
Corpse Reviver #2,Contemporary Classics (Clásicos contemporáneos),30 ml (1 oz) de gin; 30 ml (1 oz) de Cointreau; 30 ml (1 oz) de Lillet Blanc; 30 ml (1 oz) de jugo fresco de limón; 1 golpe (dash) de absenta,Verter todos los ingredientes en una coctelera con hielo. Agitar bien y colar en una copa de cóctel fría.,copa de cóctel,Una piel (zest) de naranja.,https://iba-world.com/iba-cocktail/corpse-reviver-2/
Cosmopolitan,Contemporary Classics (Clásicos contemporáneos),"40 ml (1,33 oz) de vodka cítrico (vodka citron); 15 ml (0,5 oz) de Cointreau; 15 ml (0,5 oz) de jugo fresco de lima; 30 ml (1 oz) de jugo de arándano rojo",Poner todos los ingredientes en una coctelera con hielo. Agitar bien y colar en una copa de cóctel grande.,copa de cóctel grande,Un twist de limón.,https://iba-world.com/iba-cocktail/cosmopolitan/
Cuba Libre,Contemporary Classics (Clásicos contemporáneos),"50 ml (1,67 oz) de ron blanco; 120 ml (4 oz) de cola; 10 ml (0,33 oz) de jugo fresco de lima",Construir (build) todos los ingredientes directamente en un vaso highball lleno de hielo.,vaso highball,Una cuña de lima.,https://iba-world.com/iba-cocktail/cuba-libre/
Daiquiri,The Unforgettables (Inolvidables),"60 ml (2 oz) de ron blanco cubano; 20 ml (0,67 oz) de jugo fresco de lima; 2 cucharadas de bar de azúcar superfina",En una coctelera poner todos los ingredientes y remover bien para disolver el azúcar. Añadir hielo y agitar. Colar en una copa de cóctel fría.,copa de cóctel,Sin guarnición.,https://iba-world.com/iba-cocktail/daiquiri/
Dark 'N' Stormy,New Era Drinks (Bebidas de la nueva era),"60 ml (2 oz) de ron Goslings; 100 ml (3,33 oz) de ginger beer (cerveza de jengibre)",En un vaso highball lleno de hielo verter la ginger beer y completar haciendo flotar el ron por encima.,vaso highball,Una cuña o rodaja de lima.,https://iba-world.com/iba-cocktail/dark-n-stormy/
Don's Special Daiquiri,New Era Drinks (Bebidas de la nueva era),"30 ml (1 oz) de ron dorado de Jamaica; 15 ml (0,5 oz) de ron cubano; 15 ml (0,5 oz) de jarabe de maracuyá (fruta de la pasión); 15 ml (0,5 oz) de jugo fresco de lima; 15 ml (0,5 oz) de jarabe de miel",Licuar (blend) unos segundos en una batidora de malteadas con hielo picado y verter en un vaso copo con pie. Llenar el vaso con más hielo picado.,vaso copo con pie,Medio maracuyá (fruta de la pasión).,https://iba-world.com/iba-cocktail/dons-special-daiquiri/
Dry Martini,The Unforgettables (Inolvidables),"60 ml (2 oz) de gin; 10 ml (0,33 oz) de vermut seco",Verter todos los ingredientes en un vaso mezclador con cubos de hielo. Remover bien (stir) y colar en una copa martini fría.,copa martini,"Exprimir los aceites de una piel de limón sobre la bebida o, si se pide, decorar con aceitunas verdes.",https://iba-world.com/iba-cocktail/dry-martini/
Espresso Martini,New Era Drinks (Bebidas de la nueva era),"50 ml (1,67 oz) de vodka; 30 ml (1 oz) de Kahlúa (licor de café); 10 ml (0,33 oz) de jarabe de azúcar; 1 café espresso fuerte","Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",copa de cóctel,3 granos de café.,https://iba-world.com/iba-cocktail/espresso-martini/
Fernandito,New Era Drinks (Bebidas de la nueva era),"50 ml (1,67 oz) de Fernet Branca; completar con cola",Verter el Fernet Branca en un vaso old fashioned doble con hielo y completar el vaso con cola. Remover suavemente.,vaso old fashioned doble,Sin guarnición.,https://iba-world.com/iba-cocktail/fernandito/
French 75,Contemporary Classics (Clásicos contemporáneos),"30 ml (1 oz) de gin; 15 ml (0,5 oz) de jugo fresco de limón; 15 ml (0,5 oz) de jarabe de azúcar; 60 ml (2 oz) de champaña (Champagne)",Verter todos los ingredientes excepto la champaña en una coctelera. Agitar bien y colar en una copa flauta de champaña. Completar con champaña y remover suavemente.,copa flauta,Sin guarnición.,https://iba-world.com/iba-cocktail/french-75/
French Connection,Contemporary Classics (Clásicos contemporáneos),"35 ml (1,17 oz) de coñac (cognac); 35 ml (1,17 oz) de amaretto",Verter todos los ingredientes directamente en un vaso old fashioned lleno de cubos de hielo. Remover suavemente.,vaso old fashioned,Sin guarnición.,https://iba-world.com/iba-cocktail/french-connection/
French Martini,New Era Drinks (Bebidas de la nueva era),"45 ml (1,5 oz) de vodka; 15 ml (0,5 oz) de licor de frambuesa; 15 ml (0,5 oz) de jugo fresco de piña","Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",copa de cóctel,Exprimir los aceites de una piel de limón sobre la bebida.,https://iba-world.com/iba-cocktail/french-martini/
Garibaldi,Contemporary Classics (Clásicos contemporáneos),"45 ml (1,5 oz) de Campari (bitter Campari); 120 ml (4 oz) de jugo de naranja recién exprimido",Construir (build) todos los ingredientes en un vaso highball lleno de hielo.,vaso highball,Una cuña de naranja.,https://iba-world.com/iba-cocktail/garibaldi/
Gin Basil Smash,New Era Drinks (Bebidas de la nueva era),"60 ml (2 oz) de gin; 22,5 ml (0,75 oz) de jugo de limón recién exprimido; 22,5 ml (0,75 oz) de jarabe de azúcar; 10 hojas de albahaca italiana",Poner todos los ingredientes en una coctelera con hielo. Agitar vigorosamente y verter en una copa de cóctel fría.,copa de cóctel,Sin guarnición.,https://iba-world.com/iba-cocktail/gin-basil-smash/
Gin Fizz,The Unforgettables (Inolvidables),"45 ml (1,5 oz) de gin; 30 ml (1 oz) de jugo fresco de limón; 10 ml (0,33 oz) de jarabe simple; un chorrito de agua con gas (soda)",Agitar todos los ingredientes con hielo excepto el agua con gas. Verter en un vaso tumbler alto y delgado y completar con un chorrito de agua con gas. Nota: se sirve sin hielo.,vaso tumbler alto,"Una rodaja de limón; opcionalmente, una piel (zest) de limón.",https://iba-world.com/iba-cocktail/gin-fizz/
Grand Margarita,New Era Drinks (Bebidas de la nueva era),"45 ml (1,5 oz) de tequila 100 % de agave; 30 ml (1 oz) de Grand Marnier; 15 ml (0,5 oz) de jugo fresco de lima",Escarchar el borde de un vaso rocks con sal marina de buena calidad. Verter los ingredientes en la coctelera. Poner hielo en el vaso y en la coctelera. Agitar con fuerza durante 10 segundos y colar la bebida en el vaso.,vaso rocks,Una rodaja de lima.,https://iba-world.com/iba-cocktail/grand-margarita/
Grasshopper,Contemporary Classics (Clásicos contemporáneos),"20 ml (0,67 oz) de crema de cacao blanca; 20 ml (0,67 oz) de crema de menta verde; 20 ml (0,67 oz) de crema de leche fresca",Verter todos los ingredientes en una coctelera llena de hielo. Agitar enérgicamente durante unos segundos y colar en una copa de cóctel fría.,copa de cóctel,"Sin guarnición; opcional, una hoja de menta.",https://iba-world.com/iba-cocktail/grasshopper/
Hanky Panky,The Unforgettables (Inolvidables),"45 ml (1,5 oz) de gin London Dry; 45 ml (1,5 oz) de vermut rojo dulce; 7,5 ml (0,25 oz) de Fernet",Verter todos los ingredientes en un vaso mezclador con cubos de hielo. Remover bien y colar en una copa de cóctel fría.,copa de cóctel,Una piel (zest) de naranja.,https://iba-world.com/iba-cocktail/hanky-panky/
Hemingway Special,Contemporary Classics (Clásicos contemporáneos),"60 ml (2 oz) de ron; 40 ml (1,33 oz) de jugo de toronja (pomelo); 15 ml (0,5 oz) de licor marrasquino Luxardo; 15 ml (0,5 oz) de jugo fresco de lima",Verter todos los ingredientes en una coctelera con hielo. Agitar bien y colar en una copa de cóctel grande.,copa de cóctel grande,Sin guarnición.,https://iba-world.com/iba-cocktail/hemingway-special/
Horse's Neck,Contemporary Classics (Clásicos contemporáneos),"40 ml (1,33 oz) de coñac (cognac); 120 ml (4 oz) de ginger ale; un golpe (dash) de amargo de Angostura (opcional)","Verter el coñac y el ginger ale directamente en un vaso highball con cubos de hielo. Remover suavemente. Si se prefiere, añadir unos golpes de Angostura.",vaso highball,La cáscara de un limón entero cortada en espiral.,https://iba-world.com/iba-cocktail/horses-neck/
Illegal,New Era Drinks (Bebidas de la nueva era),"30 ml (1 oz) de mezcal espadín; 15 ml (0,5 oz) de ron blanco overproof de Jamaica; 15 ml (0,5 oz) de falernum; 1 cucharada de bar de licor marrasquino Luxardo; 22,5 ml (0,75 oz) de jugo fresco de lima; 15 ml (0,5 oz) de jarabe simple; unas gotas de clara de huevo (opcional)","Verter todos los ingredientes en la coctelera. Agitar vigorosamente con hielo. Colar en una copa de cóctel fría, o servir con hielo (on the rocks) en una taza tradicional de barro o terracota.",copa de cóctel (o taza de barro o terracota),Sin guarnición.,https://iba-world.com/iba-cocktail/illegal/
Irish Coffee,Contemporary Classics (Clásicos contemporáneos),"50 ml (1,67 oz) de whiskey irlandés; 120 ml (4 oz) de café caliente; 50 ml (1,67 oz) de crema de leche fresca fría; 1 cucharadita de azúcar","Verter el café negro caliente en una copa de Irish coffee precalentada. Añadir el whiskey y al menos una cucharadita de azúcar y remover hasta disolver. Verter con cuidado la crema fresca, espesa y fría, sobre el dorso de una cuchara sostenida justo encima de la superficie del café; la capa de crema flotará sobre el café sin mezclarse. El azúcar puede sustituirse por jarabe de azúcar.",copa de Irish coffee,Sin guarnición.,https://iba-world.com/iba-cocktail/irish-coffee/
John Collins,The Unforgettables (Inolvidables),"45 ml (1,5 oz) de gin; 30 ml (1 oz) de jugo fresco de limón; 15 ml (0,5 oz) de jarabe simple; 60 ml (2 oz) de agua con gas (soda)",Verter todos los ingredientes directamente en un vaso highball lleno de hielo. Remover suavemente. Nota: con gin Old Tom se convierte en Tom Collins.,vaso highball,Una rodaja de limón y una cereza marrasquino.,https://iba-world.com/iba-cocktail/john-collins/
Jungle Bird,New Era Drinks (Bebidas de la nueva era),"45 ml (1,5 oz) de ron blackstrap; 22,5 ml (0,75 oz) de Campari; 45 ml (1,5 oz) de jugo de piña; 15 ml (0,5 oz) de jugo de lima recién exprimido; 15 ml (0,5 oz) de jarabe de azúcar demerara",Verter todos los ingredientes en una coctelera con hielo y agitar. Colar en un vaso rocks lleno de hielo.,vaso rocks,Una cuña de piña.,https://iba-world.com/iba-cocktail/jungle-bird/
Last Word,The Unforgettables (Inolvidables),"22,5 ml (0,75 oz) de gin; 22,5 ml (0,75 oz) de Chartreuse verde; 22,5 ml (0,75 oz) de licor marrasquino Luxardo; 22,5 ml (0,75 oz) de jugo fresco de lima",Poner todos los ingredientes en una coctelera. Agitar con hielo y colar en una copa de cóctel fría.,copa de cóctel,Sin guarnición.,https://iba-world.com/iba-cocktail/last-word/
Lemon Drop Martini,Contemporary Classics (Clásicos contemporáneos),"30 ml (1 oz) de vodka; 20 ml (0,67 oz) de triple sec; 15 ml (0,5 oz) de jugo de limón recién exprimido",Verter todos los ingredientes en una coctelera con hielo. Agitar bien y colar en una copa de cóctel fría.,copa de cóctel,Sin guarnición.,https://iba-world.com/iba-cocktail/lemon-drop-martini/
Long Island Iced Tea,Contemporary Classics (Clásicos contemporáneos),"15 ml (0,5 oz) de vodka; 15 ml (0,5 oz) de tequila; 15 ml (0,5 oz) de ron blanco; 15 ml (0,5 oz) de gin; 15 ml (0,5 oz) de Cointreau; 25 ml (0,83 oz) de jugo de limón; 30 ml (1 oz) de jarabe simple; completar con cola",Poner todos los ingredientes en un vaso highball lleno de hielo. Remover suavemente.,vaso highball,Una rodaja de limón (opcional).,https://iba-world.com/iba-cocktail/long-island-iced-tea/
Mai-Tai,Contemporary Classics (Clásicos contemporáneos),"30 ml (1 oz) de ron ámbar de Jamaica; 30 ml (1 oz) de rhum de melaza de Martinica*; 15 ml (0,5 oz) de curaçao de naranja; 15 ml (0,5 oz) de jarabe de orgeat (almendra); 30 ml (1 oz) de jugo de lima recién exprimido; 7,5 ml (0,25 oz) de jarabe simple","Poner todos los ingredientes en una coctelera con hielo. Agitar y verter en un vaso rocks doble o en un vaso highball. *El ron de melaza de Martinica que usaba Trader Vic no era un rhum agrícola, sino un tipo de ron de melaza.",vaso rocks doble o vaso highball,"Una lanza de piña, hojas de hierbabuena (menta) y piel de lima.",https://iba-world.com/iba-cocktail/mai-tai/
Manhattan,The Unforgettables (Inolvidables),"50 ml (1,67 oz) de whiskey de centeno (rye); 20 ml (0,67 oz) de vermut rojo dulce; 1 golpe (dash) de amargo de Angostura",Verter todos los ingredientes en un vaso mezclador con cubos de hielo. Remover bien (stir) y colar en una copa de cóctel fría.,copa de cóctel,Una cereza de cóctel.,https://iba-world.com/iba-cocktail/manhattan/
Margarita,Contemporary Classics (Clásicos contemporáneos),"50 ml (1,67 oz) de tequila 100 % de agave; 20 ml (0,67 oz) de triple sec; 15 ml (0,5 oz) de jugo de lima recién exprimido",Poner todos los ingredientes en una coctelera con hielo. Agitar y colar en una copa de cóctel fría.,copa de cóctel,Medio borde escarchado con sal (opcional).,https://iba-world.com/iba-cocktail/margarita/
Martinez,The Unforgettables (Inolvidables),"45 ml (1,5 oz) de gin London Dry; 45 ml (1,5 oz) de vermut rojo dulce; 1 cucharada de bar de licor marrasquino Luxardo; 2 golpes (dashes) de bitter de naranja",Verter todos los ingredientes en un vaso mezclador con cubos de hielo. Remover bien y colar en una copa de cóctel fría.,copa de cóctel,Una piel (zest) de limón.,https://iba-world.com/iba-cocktail/martinez/
Mary Pickford,The Unforgettables (Inolvidables),"45 ml (1,5 oz) de ron blanco; 45 ml (1,5 oz) de jugo fresco de piña; 7,5 ml (0,25 oz) de licor marrasquino Luxardo; 5 ml (0,17 oz) de jarabe de granadina","Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",copa de cóctel,Sin guarnición.,https://iba-world.com/iba-cocktail/mary-pickford/
Mint Julep,Contemporary Classics (Clásicos contemporáneos),60 ml (2 oz) de bourbon; 4 ramitas frescas de hierbabuena (menta); 1 cucharadita de azúcar glas; 2 cucharaditas de agua,"En una copa julep de acero inoxidable, macerar (muddle) suavemente la hierbabuena con el azúcar y el agua. Llenar la copa con hielo picado, añadir el bourbon y remover bien hasta que la copa se escarche.",copa julep de acero inoxidable,Una ramita de hierbabuena (menta).,https://iba-world.com/iba-cocktail/mint-julep/
Missionary's Downfall,New Era Drinks (Bebidas de la nueva era),"30 ml (1 oz) de ron blanco; 15 ml (0,5 oz) de brandy de durazno (melocotón); 15 ml (0,5 oz) de jugo fresco de lima; 30 ml (1 oz) de mezcla de miel (honey mix); 10 hojas de hierbabuena (menta); 3 o 4 trozos de piña",Licuar (blend) todos los ingredientes con media taza de hielo picado. Servir en una copa grande (coppa grande).,copa grande,Una ramita de hierbabuena (menta) y una rodaja de piña.,https://iba-world.com/iba-cocktail/missionarys-downfall/
Mojito,Contemporary Classics (Clásicos contemporáneos),"45 ml (1,5 oz) de ron blanco cubano; 20 ml (0,67 oz) de jugo fresco de lima; 6 ramitas de hierbabuena (menta); 2 cucharaditas de azúcar blanca de caña; agua con gas (soda)",Mezclar las ramitas de hierbabuena con el azúcar y el jugo de lima. Añadir un chorrito de agua con gas y llenar el vaso con hielo. Verter el ron y completar con agua con gas. Remover ligeramente para integrar todos los ingredientes.,vaso (tipo no especificado por la IBA),Ramitas de hierbabuena (menta) y una rodaja de lima.,https://iba-world.com/iba-cocktail/mojito/
Monkey Gland,The Unforgettables (Inolvidables),"45 ml (1,5 oz) de gin seco (dry gin); 45 ml (1,5 oz) de jugo fresco de naranja; 1 cucharada de absenta; 1 cucharada de jarabe de granadina","Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",copa de cóctel,Sin guarnición.,https://iba-world.com/iba-cocktail/monkey-gland/
Moscow Mule,Contemporary Classics (Clásicos contemporáneos),"45 ml (1,5 oz) de vodka Smirnoff; 120 ml (4 oz) de ginger beer (cerveza de jengibre); 10 ml (0,33 oz) de jugo fresco de lima","En una taza Mule (mule cup) o en un vaso rocks, combinar el vodka y la ginger beer. Añadir el jugo de lima y remover suavemente para integrar todos los ingredientes.",taza Mule (mule cup) o vaso rocks,Una rodaja de lima.,https://iba-world.com/iba-cocktail/moscow-mule/
Naked and Famous,New Era Drinks (Bebidas de la nueva era),"22,5 ml (0,75 oz) de mezcal; 22,5 ml (0,75 oz) de Chartreuse amarillo; 22,5 ml (0,75 oz) de Aperol; 22,5 ml (0,75 oz) de jugo fresco de lima","Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",copa de cóctel,Sin guarnición.,https://iba-world.com/iba-cocktail/naked-and-famous/
Negroni,The Unforgettables (Inolvidables),30 ml (1 oz) de gin; 30 ml (1 oz) de Campari (bitter Campari); 30 ml (1 oz) de vermut rojo dulce,Verter todos los ingredientes directamente en un vaso old fashioned frío lleno de hielo. Remover suavemente.,vaso old fashioned,Media rodaja de naranja.,https://iba-world.com/iba-cocktail/negroni/
New York Sour,New Era Drinks (Bebidas de la nueva era),"60 ml (2 oz) de whiskey de centeno (rye) o bourbon; 22,5 ml (0,75 oz) de jarabe simple; 30 ml (1 oz) de jugo fresco de limón; unas gotas de clara de huevo; 15 ml (0,5 oz) de vino tinto (Shiraz o Malbec)",Verter todos los ingredientes en la coctelera. Agitar vigorosamente con hielo. Colar en un vaso rocks frío lleno de hielo. Hacer flotar el vino por encima.,vaso rocks,Una piel (zest) de limón o de naranja con una cereza.,https://iba-world.com/iba-cocktail/new-york-sour/
Old Cuban,New Era Drinks (Bebidas de la nueva era),"6 a 8 hojas de hierbabuena (menta); 45 ml (1,5 oz) de ron añejo; 22,5 ml (0,75 oz) de jugo fresco de lima; 30 ml (1 oz) de jarabe simple; 2 golpes (dashes) de amargo de Angostura; 60 ml (2 oz) de champaña brut o Prosecco","Verter todos los ingredientes en la coctelera excepto el vino espumoso, agitar bien con hielo y colar en una copa de cóctel elegante y fría. Completar con el vino espumoso.",copa de cóctel,Ramitas de hierbabuena (menta).,https://iba-world.com/iba-cocktail/old-cuban/
Old Fashioned,The Unforgettables (Inolvidables),"45 ml (1,5 oz) de bourbon o whiskey de centeno (rye); 1 terrón de azúcar; unos golpes (dashes) de amargo de Angostura; unos golpes de agua natural",Poner el terrón de azúcar en un vaso old fashioned y empaparlo con el bitter (Angostura); añadir unos golpes de agua natural. Macerar (muddle) hasta disolverlo. Llenar el vaso con cubos de hielo y añadir el whisky. Remover suavemente.,vaso old fashioned,Una rodaja o piel (zest) de naranja y una cereza de cóctel.,https://iba-world.com/iba-cocktail/old-fashioned/
Paloma,New Era Drinks (Bebidas de la nueva era),"50 ml (1,67 oz) de tequila 100 % de agave; 5 ml (0,17 oz) de jugo fresco de lima; una pizca de sal; 100 ml (3,33 oz) de soda de toronja rosada (pomelo rosado)",Verter el tequila en un vaso highball y exprimir el jugo de lima. Añadir hielo y sal y completar con la soda de toronja rosada. Remover suavemente.,vaso highball,Una rodaja de lima.,https://iba-world.com/iba-cocktail/paloma/
Paper Plane,New Era Drinks (Bebidas de la nueva era),30 ml (1 oz) de bourbon; 30 ml (1 oz) de Amaro Nonino; 30 ml (1 oz) de Aperol; 30 ml (1 oz) de jugo fresco de limón,"Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",copa de cóctel,Sin guarnición.,https://iba-world.com/iba-cocktail/paper-plane/
Paradise,The Unforgettables (Inolvidables),"30 ml (1 oz) de gin; 20 ml (0,67 oz) de brandy de albaricoque (apricot brandy); 15 ml (0,5 oz) de jugo fresco de naranja","Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",copa de cóctel,Sin guarnición.,https://iba-world.com/iba-cocktail/paradise/
Penicillin,New Era Drinks (Bebidas de la nueva era),"60 ml (2 oz) de whisky escocés de mezcla (blended scotch); 7,5 ml (0,25 oz) de whisky Lagavulin 16 años (single malt de Islay); 22,5 ml (0,75 oz) de jugo fresco de limón; 22,5 ml (0,75 oz) de jarabe de miel; 2 o 3 rodajas de jengibre fresco del tamaño de una moneda",Macerar (muddle) el jengibre fresco en una coctelera y añadir los demás ingredientes excepto el whisky single malt de Islay. Llenar la coctelera con hielo y agitar. Colar con colador fino (doble colado) en un vaso old fashioned frío con hielo. Hacer flotar el whisky single malt por encima.,vaso old fashioned,Rodajas de jengibre confitado.,https://iba-world.com/iba-cocktail/penicillin/
